YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,EW11,5870,7610
2026-04,WEEKENDS/HOLIDAY,22,TRAIN,EW7,1845,6645
2026-04,WEEKENDS/HOLIDAY,15,TRAIN,EW2/DT32,27000,27759
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,NS8,6982,7856
2026-04,WEEKDAY,14,TRAIN,EW25,7175,8318
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,SW1,1398,875
2026-04,WEEKDAY,10,TRAIN,NS23,11094,39845
2026-04,WEEKDAY,12,TRAIN,EW3,17524,14142
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,EW29,14204,6792
2026-04,WEEKENDS/HOLIDAY,20,TRAIN,DT21,3990,3210
2026-04,WEEKDAY,10,TRAIN,SW4,2855,1146
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,DT34,1055,1459
2026-04,WEEKDAY,19,TRAIN,DT23,10054,7162
2026-04,WEEKDAY,19,TRAIN,NE4/DT19,91579,58431
2026-04,WEEKDAY,8,TRAIN,CG2,13893,36200
2026-04,WEEKDAY,21,TRAIN,PW4,2851,4529
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,NE11,8867,9153
2026-04,WEEKDAY,6,TRAIN,NS15,20128,25617
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,DT22,4881,7024
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,8372,7041
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,EW5,17834,10322
2026-04,WEEKDAY,14,TRAIN,TE24,5218,3459
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,EW26,13512,12129
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,EW9,153,746
2026-04,WEEKDAY,0,TRAIN,DT33,26,2786
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,NE14,10269,17244
2026-04,WEEKDAY,10,TRAIN,NS28,2967,3574
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,CC28,728,2182
2026-04,WEEKDAY,23,TRAIN,CC26,749,731
2026-04,WEEKDAY,5,TRAIN,TE14/NS22,935,1481
2026-04,WEEKDAY,15,TRAIN,BP10,2109,3796
2026-04,WEEKENDS/HOLIDAY,15,TRAIN,NS19,17824,18444
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,PW3,296,667
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,DT29,3369,1244
2026-04,WEEKDAY,19,TRAIN,CC14,11520,14633
2026-04,WEEKDAY,22,TRAIN,PW7,1014,2917
2026-04,WEEKDAY,19,TRAIN,EW18,25309,34433
2026-04,WEEKDAY,8,TRAIN,NS7,50312,43029
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,PW2,69,107
2026-04,WEEKDAY,5,TRAIN,DT33,6695,67
2026-04,WEEKDAY,18,TRAIN,PW5,2901,6868
2026-04,WEEKDAY,7,TRAIN,EW31,4386,35886
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,EW10,6574,7176
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,DT4,1482,836
2026-04,WEEKDAY,16,TRAIN,NS27/CE2/TE20,7577,3514
