YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKDAY,0.0,BUS,77171,0,2
2026-04,WEEKDAY,18.0,BUS,22481,61,788
2026-04,WEEKDAY,7.0,BUS,76141,3572,5941
2026-04,WEEKDAY,12.0,BUS,14209,584,866
2026-04,WEEKDAY,18.0,BUS,66241,20,44
2026-04,WEEKDAY,13.0,BUS,72071,643,1064
2026-04,WEEKENDS/HOLIDAY,11.0,BUS,25251,2,0
2026-04,WEEKDAY,7.0,BUS,80239,54,625
2026-04,WEEKENDS/HOLIDAY,9.0,BUS,25351,0,4
2026-04,WEEKENDS/HOLIDAY,9.0,BUS,17311,31,22
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,67231,12,88
2026-04,WEEKDAY,18.0,BUS,42061,564,883
2026-04,WEEKDAY,13.0,BUS,64069,1858,811
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,8138,1863,1171
2026-04,WEEKENDS/HOLIDAY,17.0,BUS,67771,158,186
2026-04,WEEKDAY,8.0,BUS,23231,116,32
2026-04,WEEKDAY,5.0,BUS,84019,822,36
2026-04,WEEKENDS/HOLIDAY,4.0,BUS,70259,1,0
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,11149,1335,928
2026-04,WEEKENDS/HOLIDAY,6.0,BUS,45491,2,7
2026-04,WEEKENDS/HOLIDAY,23.0,BUS,75021,3,56
2026-04,WEEKDAY,5.0,BUS,65309,76,1
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,27199,310,25
2026-04,WEEKDAY,19.0,BUS,65279,979,2378
2026-04,WEEKDAY,20.0,BUS,68029,227,1061
2026-04,WEEKDAY,23.0,BUS,66381,1123,376
2026-04,WEEKDAY,21.0,BUS,63261,224,315
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,21661,196,127
2026-04,WEEKDAY,20.0,BUS,21779,1034,827
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,74961,63,177
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,24489,10,9
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,67081,37,135
2026-04,WEEKDAY,21.0,BUS,72059,368,454
2026-04,WEEKDAY,7.0,BUS,10469,1266,177
2026-04,WEEKDAY,5.0,BUS,84521,902,76
2026-04,WEEKDAY,9.0,BUS,23301,27,125
2026-04,WEEKDAY,5.0,BUS,45301,402,1
2026-04,WEEKENDS/HOLIDAY,23.0,BUS,44201,66,156
2026-04,WEEKDAY,16.0,BUS,40111,1011,877
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,9131,370,420
2026-04,WEEKENDS/HOLIDAY,20.0,BUS,50361,22,37
2026-04,WEEKDAY,14.0,BUS,48149,167,158
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,83341,156,94
2026-04,WEEKENDS/HOLIDAY,23.0,BUS,53009,2070,387
2026-04,WEEKENDS/HOLIDAY,19.0,BUS,22401,105,12
2026-04,WEEKDAY,10.0,BUS,59309,383,367
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,99019,6,5
2026-04,WEEKDAY,8.0,BUS,68101,10,878
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,80091,1457,2226
2026-04,WEEKENDS/HOLIDAY,17.0,BUS,84331,167,180
2026-04,WEEKDAY,22.0,BUS,21129,0,3
2026-04,WEEKDAY,17.0,BUS,21521,220,34
2026-04,WEEKDAY,21.0,BUS,21641,153,305
2026-04,WEEKDAY,7.0,BUS,84049,10769,2257
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,70271,504,818
2026-04,WEEKDAY,12.0,BUS,16069,779,959
2026-04,WEEKDAY,9.0,BUS,40211,178,179
2026-04,WEEKDAY,8.0,BUS,75299,1729,2629
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,98319,66,130
2026-04,WEEKDAY,17.0,BUS,65719,581,959
2026-04,WEEKENDS/HOLIDAY,5.0,BUS,50051,4,19
2026-04,WEEKDAY,17.0,BUS,26101,1,1
2026-04,WEEKENDS/HOLIDAY,18.0,BUS,11291,198,338
2026-04,WEEKDAY,13.0,BUS,18099,3,8
2026-04,WEEKENDS/HOLIDAY,11.0,BUS,52281,201,145
2026-04,WEEKDAY,21.0,BUS,67519,51,14
2026-04,WEEKENDS/HOLIDAY,20.0,BUS,67261,90,302
2026-04,WEEKENDS/HOLIDAY,23.0,BUS,25429,18,81
2026-04,WEEKENDS/HOLIDAY,9.0,BUS,14209,433,198
2026-04,WEEKDAY,20.0,BUS,50191,459,1477
2026-04,WEEKDAY,23.0,BUS,71131,157,227
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,21501,12,5
2026-04,WEEKENDS/HOLIDAY,19.0,BUS,74959,36,71
2026-04,WEEKENDS/HOLIDAY,9.0,BUS,11279,203,79
2026-04,WEEKDAY,7.0,BUS,60249,484,20
2026-04,WEEKDAY,15.0,BUS,59131,457,799
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,58371,314,149
2026-04,WEEKDAY,16.0,BUS,54411,383,1338
2026-04,WEEKDAY,6.0,BUS,94051,532,1331
2026-04,WEEKDAY,18.0,BUS,22171,953,74
2026-04,WEEKDAY,20.0,BUS,1611,542,404
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,63109,12,86
2026-04,WEEKDAY,21.0,BUS,22501,292,644
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,54369,3,2
2026-04,WEEKENDS/HOLIDAY,23.0,BUS,81109,150,29
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,27519,19,14
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,75281,15,88
